mx_message_id,path,parent_path,xml_tag,type,min_occurs,max_occurs,is_attribute,choice_group
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr/Nm,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr/Id/OrgId/AnyBIC,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Dbtr/Id/OrgId,AnyBIC,AnyBICDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-153
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/BICFI,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgtAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgtAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-161
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgtAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/DbtrAgtAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/BICFI,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/ClrSysMmbId/MmbId,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1Acct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1Acct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-193
